"OGU","domain","phylum","class","order","family","genus","species","UNITN","UHGG","PATH","WIS","cov_All"
"G003144115","Eukaryota","Basidiomycota","Exobasidiomycetes","Entylomatales","","Tilletiopsis","Tilletiopsis_washingtonensis",FALSE,FALSE,FALSE,TRUE,0.00101376770196114
"G003290485","Eukaryota","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_restricta",FALSE,FALSE,FALSE,TRUE,0.985719300383307
"G005498985","Eukaryota","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Sporisorium","Sporisorium_graminicola",FALSE,FALSE,FALSE,TRUE,0.00494309901101222
"G014466165","Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Pleurotaceae","Pleurotus","Pleurotus_ostreatus",FALSE,FALSE,FALSE,TRUE,0.00292795787570141
"G015533775","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_roqueforti",FALSE,FALSE,FALSE,TRUE,0.0203128351756462
"G016861865","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_puulaauensis",FALSE,FALSE,FALSE,TRUE,0.00705011759957355
"G900074925","Eukaryota","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia","Ramularia_collo-cygni",FALSE,FALSE,FALSE,TRUE,0.000297025755645489
"G900519145","Eukaryota","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","Ustilago_hordei",FALSE,FALSE,FALSE,TRUE,0.00988513164614984
"G000003925","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_mycoides",FALSE,FALSE,TRUE,FALSE,0.0274654048450297
"G000005845","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_coli",TRUE,FALSE,TRUE,FALSE,0.999770986709042
"G000006765","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_aeruginosa",TRUE,TRUE,TRUE,TRUE,0.993225532708299
"G000006925","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella_flexneri",FALSE,FALSE,TRUE,FALSE,0.912966882315422
"G000006945","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella_enterica",FALSE,TRUE,TRUE,FALSE,0.0562010403919859
"G000007025","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia_conorii",FALSE,FALSE,TRUE,FALSE,0.00344432140168906
"G000007125","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella","Brucella_melitensis",FALSE,FALSE,TRUE,FALSE,0.0302320125549667
"G000007145","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas_campestris",FALSE,FALSE,FALSE,TRUE,0.714613603751477
"G000007485","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Tropherymataceae","Tropheryma","Tropheryma_whipplei",FALSE,FALSE,TRUE,FALSE,0.0127789945681185
"G000007545","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella_enterica",FALSE,TRUE,TRUE,FALSE,0.0708023291508424
"G000007705","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Chromobacterium","Chromobacterium_violaceum",FALSE,FALSE,TRUE,FALSE,0.0172200846965322
