"","pred","obs","ESCA","OV","STAD","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"173","OV","OV",0.181050851941109,0.609263300895691,0.209685787558556,93,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"174","STAD","STAD",0.243649438023567,0.148800879716873,0.607549667358398,94,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"175","STAD","STAD",0.132675170898438,0.213542819023132,0.65378201007843,99,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"176","ESCA","STAD",0.564459919929504,0.149549573659897,0.285990566015244,107,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"177","ESCA","STAD",0.661455631256104,0.151462376117706,0.187081977725029,109,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"178","STAD","STAD",0.280230432748795,0.236102238297462,0.483667373657227,137,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"179","OV","OV",0.149681463837624,0.670788466930389,0.179530084133148,159,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"180","OV","OV",0.149681463837624,0.670788466930389,0.179530084133148,163,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"181","OV","OV",0.156693667173386,0.665256798267365,0.178049579262733,169,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"182","ESCA","ESCA",0.650602459907532,0.155699506402016,0.193698033690453,173,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"183","OV","OV",0.149681463837624,0.670788466930389,0.179530084133148,181,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"184","OV","OV",0.149681463837624,0.670788466930389,0.179530084133148,183,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"185","ESCA","STAD",0.571556329727173,0.164680644869804,0.263763040304184,195,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"186","STAD","STAD",0.206991046667099,0.160190224647522,0.632818698883057,200,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"187","OV","OV",0.211908012628555,0.577309489250183,0.210782557725906,236,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"188","OV","OV",0.211542412638664,0.431519895792007,0.356937646865845,239,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"189","OV","OV",0.155109360814095,0.657739222049713,0.18715138733387,247,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"190","ESCA","ESCA",0.666089057922363,0.151869520545006,0.182041421532631,250,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"191","STAD","STAD",0.175233587622643,0.172141581773758,0.652624785900116,261,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"192","OV","OV",0.147895514965057,0.672977685928345,0.179126754403114,266,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"193","STAD","STAD",0.182716771960258,0.151998788118362,0.66528445482254,283,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"194","ESCA","ESCA",0.657726228237152,0.16323858499527,0.179035171866417,284,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"195","OV","OV",0.14156748354435,0.634426116943359,0.224006369709969,290,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"196","STAD","ESCA",0.267964750528336,0.296350061893463,0.435685157775879,292,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
