domain,phylum,class-order,family,species,reference
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter castelli,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter oxydans,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter polychromogenes,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria halotolerans,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria kristinae,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria marina,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria palustris,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria rhizophila,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria rosea,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus luteus,"(Finegold et al., 1974)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus lylae,"(Pfleiderer et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia aeria,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia dentocariosa,"(Taylor et al., 1985)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia mucilaginosa,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora aurantiaca,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium avium,"(Thorel et al., 1990)"
Bacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium abscessus,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium florentinum,"(Tortoli et al., 2005)"
Bacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium fortuitum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus equi,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus erythropolis,"(Walker et al., 2011)"
Bacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus rhodochrous,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Promicromonospora flava,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium cellulans,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Propionibacterineae,Aeromicrobium massiliense,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Propionibacterineae,Propionibacterium acidipropionici,"(Ramotar et al., 1984)"
Bacteria,Actinobacteria,Actinomycetales,Propionibacterineae,Propionibacterium acnes,"(Moore & Holdeman, 1974)"
Bacteria,Actinobacteria,Actinomycetales,Propionibacterineae,Propionibacterium avidum,"(Eggerth, 1935)"
Bacteria,Actinobacteria,Actinomycetales,Propionibacterineae,Propionibacterium freudenreichii,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Propionibacterineae,Propionibacterium granulosum,"(Finegold et al., 1974)"
Bacteria,Actinobacteria,Actinomycetales,Propionibacterineae,Propionibacterium jensenii,"(Taylor et al., 1985)"
