domain,phylum,class-order,family,species,reference
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus agalactiae,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus alactolyticus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus anginosus,"(Whiley et al., 1992)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus australis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus bovis,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus constellatus,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus cristatus,"(Bik et al., 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus dysgalactiae,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus equi,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus equinus,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus gallolyticus,"(Li et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus gordonii,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus infantarius,"(Schlegel et al., 2000)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus infantis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus intermedius,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus lutetiensis,"(Schlegel et al., 2000; Poyart et al., 2002)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus mitis,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus mutans,"(Finegold et al., 1977)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus oralis,"(Baker et al., 2000)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus parasanguinis,"(Whiley et al., 1990)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus parauberis,"(Dubourg et al., 2013)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus peroris,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus pneumoniae,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus pseudopneumoniae,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus pyogenes,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus salivarius,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus sanguinis,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus thermophilus,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus thoraltensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus uberis,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus vestibularis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Streptococcus viridans,"(Drasar & Hill, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales,Christensenellaceae,Christensenella minuta,"(Morotomi et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales,Christensenellaceae,Catabacter hongkongensis,"(Lau et al., 2007; Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium acetobutylicum,"(Taylor et al., 1985)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium anorexicamassiliense,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium baratii,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium beijerinckii,"(Finegold et al., 1977)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium botulinum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium butyricum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium cadaveris,"(Mitsuoka, 1992)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium celatum,"(Hauschild & Holdeman, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium chartatabidum,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium chauvoei,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium cochlearium,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium disporicum,"(Ley et al., 2006)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium fallax,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium felsineum,"(Drasar & Hill, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium limosum,"(Eggerth, 1935)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium malenominatum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium neonatale,"(Li et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium paraputrificum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium perfringens,"(Passini, 1905)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium putrefaciens,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium saccharoperbutylacetonicum,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium sardiniense,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium sartagoforme,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium senegalense,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium septicum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium sporogenes,"(Mitsuoka, 1992)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium subterminale,"(Taylor et al., 1985)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium tertium,"(Benno et al., 1989)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium tyrobutyricum,"(Taylor et al., 1985)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Clostridium vincentii,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Eubacterium budayi,"(Finegold et al., 1977)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Eubacterium moniliforme,"(Distaso, 1911)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Eubacterium multiforme,"(Distaso, 1911)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Eubacterium nitritogenes,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Sarcina maxima,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales I,Clostridiaceae,Sarcina ventriculi,"(Finegold et al., 1977)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Acetanaerobacterium elongatum,"(de Goffau et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Anaerofilum pentosovorans,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Anaerotruncus colihominis,"(Lawson et al., 2004)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Butyricicoccus pullicaecorum,"(Eeckhaut et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium anorexicus (Intestinimonas butyriciproducens),"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium cellobioparum,"(Benno et al., 1989)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium clariflavum," (Peris-Bondia et al., 2011)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium leptum,"(Moore et al., 1976)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium methylpentosum,"(Himelbloom & Canale-Parola, 1989)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium sporosphaeroides,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Clostridium viride,"(Zupancic et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Eubacterium desmolans,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Eubacterium siraeum,"(Moore et al., 1976)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Faecalibacterium prausnitzii,"(Moore & Holdeman, 1974; Duncan et al., 2002)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Flavonifractor plautii,"(Winter et al., 1991; Carlier et al., 2010)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Gemmiger formicilis,"(Holdeman et al., 1976)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Hydrogenoanaerobacterium saccharovorans,"(Peris-Bondia et al., 2011)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Oscillibacter valericigenes,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Papillibacter cinnamivorans,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Pseudoflavonifractor capillosus,"(Moore & Holdeman, 1974; Carlier et al., 2010)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus albus,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus bromii,"(Moore et al., 1972)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus callidus,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus champanellensis,"(Chassard et al., 2011)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Ruminococcus flavefaciens,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Soleaferrea massiliensis,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales IV,Ruminococcaceae,Subdoligranulum variabile,"(Holmstrom et al., 2004)"
Bacteria,Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Eubacterium brachy,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Eubacterium saphenum,"(Bik et al., 2006; Gill et al., 2006)"
Bacteria,Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Eubacterium sulci,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Mogibacterium diversum,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Mogibacterium neglectum,"(Bik et al., 2006)"
Bacteria,Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Mogibacterium timidum,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Clostridia-Clostridiales XI,Family XIII Incertae Sedis,Mogibacterium vescum,"(Wang et al., 2005)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Anoxynatronum sibiricum,"(Peris-Bondia et al., 2011)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium difficile,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium bartlettii,"(Song et al., 2004)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium bifermentans,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium ghonii,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium glycolicum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium hiranonis,"(Kitahara et al., 2001)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium irregulare,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium lituseburense,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium sordellii,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Clostridium sticklandii,"(Benno et al., 1986)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Eubacterium tenue,"(Distaso, 1911)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Filifactor alocis,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Filifactor villosus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Peptostreptococcus anaerobius,"(Benno et al., 1989)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIb,Peptostreptococcaceae,Peptostreptococcus stomatis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus hydrogenalis,"(Ezaki et al., 1990; Ezaki et al., 1994)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus obesiensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus octavius,"(Dubourg et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus prevotii,"(Finegold et al., 1974; Ezaki et al., 2001)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus senegalensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Anaerococcus vaginalis,"(Mangin et al., 2004; Eckburg et al., 2005)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Bacteroides coagulans,"(Eggerth & Gagnon, 1933)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Finegoldia magna,"(Finegold et al., 1974; Murdoch & Shah, 1999)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Kallipyga massiliensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Parvimonas micra,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus asaccharolyticus,"(Distaso, 1912; Ezaki et al., 2001)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus grossensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus harei,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus indolicus,"(Benno et al., 1984; Ezaki et al., 2001)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus lacrimalis,"(Walker et al., 2011)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus obesiensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus senegalensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Peptoniphilus timonensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIII,Family XI Incertae Sedis,Tissierella praeacuta,"(Tissier, 1900; Collins & Shah, 1986)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Anaerostipes butyraticus,"(Ley et al., 2006)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Anaerostipes caccae,"(Schwiertz et al., 2002)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Anaerostipes coli,"(Muñoz-Tamayo et al., 2011)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Anaerostipes rhamnosus,Nam Bui UNPUB
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Anaerostipes hadrus,"(Moore et al., 1976; Allen-Vercoe et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Anoxystipes contortum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Anoxystipes fissicatena,"(Ley et al., 2006)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Anoxystipes oroticum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Bacteroides pectinophilus,"(Jensen & Canale-Parola, 1986)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia coccoides,"(Benno et al., 1986; Liu et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia faecis,"(Park et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia glucerasea,"(Ley et al., 2006)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia hansenii,"(Liu et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia hydrogenotrophica,"(Bernalier et al., 1996; Liu et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia luti,"(Simmering et al., 2002; Liu et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia (Ruminococcus) massiliensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia (Ruminococcus) obeum,"(Moore et al., 1976; Liu et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia producta,"(Moore & Holdeman, 1974; Ezaki et al., 1994; Liu et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia stercoris,"(Park et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Blautia wexlerae,"(Liu et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Butyrivibrio crossotus,"(Moore et al., 1976)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Butyrivibrio fibrisolvens,"(Brown & Moore, 1960)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Cellulosilyticum lentocellum,"(Li et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium aminovalericum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium aldenense,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium asparagiforme,"(Mohan et al., 2006)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium bolteae,"(Song et al., 2003)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium citroniae,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium clostridioforme,"(Kaneuchi et al., 1976)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium glycyrrhizinilyticum,"(Sakuma et al., 2006)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium hathewayi,"(Steer et al., 2001)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium herbivorans,"(Nam et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium hylemonae,"(Kitahara et al., 2000)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium indolis,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium lactatifermentans,"(Song et al., 2002)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium lavalense,"(Domingo et al., 2009)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium methoxybenzovorans,"(Ott et al., 2004)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium nexile,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium populeti,"(Nam et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium scindens,"(Kitahara et al., 2000)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium sphenoides,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Clostridium symbiosum,"(Kaneuchi et al., 1976)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Coprococcus catus,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Coprococcus comes,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Coprococcus eutactus,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Dorea formicigenerans,"(Holdeman & Moore, 1974; Taras et al., 2002)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Dorea longicatena,"(Taras et al., 2002)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Dorea massiliensis,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Eubacterium cellulosolvens,"(Finegold et al., 1977)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Eubacterium eligens,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Eubacterium hallii,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Eubacterium ramulus,"(Moore et al., 1976)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Eubacterium rectale,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Eubacterium ruminantium,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Eubacterium ventriosum,"(Eggerth, 1935)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Fusicatenibacter saccharivorans,"(Takada et al., 2013)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Hespellia porcina,"(Peris-Bondia et al., 2011)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Hespellia stercorisuis,"(Peris-Bondia et al., 2011)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Howardella ureilytica,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Lachnoanaerobaculum saburreum,"(Palmer et al., 2007; Hedberg et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Lachnoanaerobaculum umeaense,"(Hedberg et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Bacteroides galacturonicus,"(Jensen & Canale-Parola, 1986)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Lachnospira pectinoschiza,"(Wilson & Blitchington, 1996)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Lactobacillus rogosae,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Lactonifactor longoviformis,"(Clavel et al., 2007)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Lachnobacterium bovis," (Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Marvinbryantia formatexigens,"(Wolin et al., 2003; Wolin et al., 2008)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Moryella indoligenes,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Clostridiales XIVa,Lachnospiraceae,Oribacterium sinus,"(Lagier et al., 2012)"
