Feature ID	Taxon
Desulfofarcimen	Desulfofarcimen
Candidatus_Desulforudis	Candidatus_Desulforudis
Desulfallas	Desulfallas
Thermincola	Thermincola
Dehalobacterium	Dehalobacterium
Desulfitobacterium	Desulfitobacterium
Desulfotomaculum	Desulfotomaculum
Desulfosporosinus	Desulfosporosinus
Dehalobacter	Dehalobacter
Syntrophobotulus	Syntrophobotulus
Christensenella	Christensenella
Acetobacterium	Acetobacterium
Eubacterium	Eubacterium
Oscillibacter	Oscillibacter
Dysosmobacter	Dysosmobacter
Intestinimonas	Intestinimonas
Flintibacter	Flintibacter
Massilistercora	Massilistercora
Ethanoligenens	Ethanoligenens
Caproiciproducens	Caproiciproducens
Flavonifractor	Flavonifractor
Ruthenibacterium	Ruthenibacterium
Ruminococcus	Ruminococcus
Faecalibacterium	Faecalibacterium
Crassaminicella	Crassaminicella
Caloramator	Caloramator
Candidatus_Arthromitus	Candidatus_Arthromitus
Geosporobacter	Geosporobacter
Caloranaerobacter	Caloranaerobacter
Hathewaya	Hathewaya
Alkaliphilus	Alkaliphilus
Hungatella	Hungatella
Clostridium	Clostridium
Aminipila	Aminipila
Mogibacterium	Mogibacterium
Paeniclostridium	Paeniclostridium
Romboutsia	Romboutsia
Acetoanaerobium	Acetoanaerobium
Peptacetobacter	Peptacetobacter
Filifactor	Filifactor
Peptoclostridium	Peptoclostridium
Paraclostridium	Paraclostridium
Clostridioides	Clostridioides
Thermoclostridium	Thermoclostridium
Mageeibacillus	Mageeibacillus
Hungateiclostridium	Hungateiclostridium
Ruminiclostridium	Ruminiclostridium
Pseudoclostridium	Pseudoclostridium
Fastidiosipila	Fastidiosipila
Cellulosilyticum	Cellulosilyticum
Pseudobutyrivibrio	Pseudobutyrivibrio
Herbinix	Herbinix
Anaerotignum	Anaerotignum
Anaerocolumna	Anaerocolumna
Lachnoanaerobaculum	Lachnoanaerobaculum
Butyrivibrio	Butyrivibrio
Lacrimispora	Lacrimispora
Mediterraneibacter	Mediterraneibacter
Enterocloster	Enterocloster
Lachnoclostridium	Lachnoclostridium
Lachnospira	Lachnospira
Anaerobutyricum	Anaerobutyricum
Roseburia	Roseburia
Blautia	Blautia
Anaerostipes	Anaerostipes
Ezakiella	Ezakiella
Gottschalkia	Gottschalkia
Gudongella	Gudongella
Tissierella	Tissierella
Murdochiella	Murdochiella
Peptoniphilus	Peptoniphilus
Anaerococcus	Anaerococcus
Parvimonas	Parvimonas
Finegoldia	Finegoldia
Oenococcus	Oenococcus
Leuconostoc	Leuconostoc
Weissella	Weissella
Jeotgalibaca	Jeotgalibaca
Marinilactibacillus	Marinilactibacillus
Dolosigranulum	Dolosigranulum
Carnobacterium	Carnobacterium
Melissococcus	Melissococcus
Vagococcus	Vagococcus
Tetragenococcus	Tetragenococcus
Enterococcus	Enterococcus
Pediococcus	Pediococcus
Lactobacillus	Lactobacillus
Suicoccus	Suicoccus
Aerococcus	Aerococcus
Abiotrophia	Abiotrophia
Lactococcus	Lactococcus
Streptococcus	Streptococcus
Sporolactobacillus	Sporolactobacillus
Kroppenstedtia	Kroppenstedtia
Novibacillus	Novibacillus
Thermoactinomyces	Thermoactinomyces
Laceyella	Laceyella
Staphylospora	Staphylospora
Listeria	Listeria
Brochothrix	Brochothrix
Kyrpidia	Kyrpidia
Alicyclobacillus	Alicyclobacillus
Tumebacillus	Tumebacillus
Planomicrobium	Planomicrobium
Kurthia	Kurthia
Ureibacillus	Ureibacillus
Paenisporosarcina	Paenisporosarcina
Solibacillus	Solibacillus
Jeotgalibacillus	Jeotgalibacillus
Rummeliibacillus	Rummeliibacillus
Planococcus	Planococcus
Sporosarcina	Sporosarcina
Exiguobacterium	Exiguobacterium
Aneurinibacillus	Aneurinibacillus
Saccharibacillus	Saccharibacillus
Thermobacillus	Thermobacillus
Brevibacillus	Brevibacillus
Cohnella	Cohnella
Paenibacillus	Paenibacillus
Gemella	Gemella
Mesobacillus	Mesobacillus
Pradoshia	Pradoshia
Pontibacillus	Pontibacillus
Psychrobacillus	Psychrobacillus
Fictibacillus	Fictibacillus
Neobacillus	Neobacillus
Halobacillus	Halobacillus
Cytobacillus	Cytobacillus
Gracilibacillus	Gracilibacillus
Metabacillus	Metabacillus
Salicibibacter	Salicibibacter
Lentibacillus	Lentibacillus
Oceanobacillus	Oceanobacillus
Virgibacillus	Virgibacillus
Paraliobacillus	Paraliobacillus
Salimicrobium	Salimicrobium
Terribacillus	Terribacillus
Parageobacillus	Parageobacillus
Lysinibacillus	Lysinibacillus
Peribacillus	Peribacillus
Aeribacillus	Aeribacillus
Amphibacillus	Amphibacillus
Geobacillus	Geobacillus
Alkalihalobacillus	Alkalihalobacillus
Anoxybacillus	Anoxybacillus
Bacillus	Bacillus
Jeotgalicoccus	Jeotgalicoccus
Salinicoccus	Salinicoccus
Auricoccus	Auricoccus
Macrococcus	Macrococcus
Staphylococcus	Staphylococcus
Conexibacter	Conexibacter
Acidimicrobium	Acidimicrobium
Ilumatobacter	Ilumatobacter
Egicoccus	Egicoccus
Egibacter	Egibacter
Euzebya	Euzebya
Baekduia	Baekduia
Rubrobacter	Rubrobacter
Cryptobacterium	Cryptobacterium
Phoenicibacter	Phoenicibacter
Arabia	Arabia
Slackia	Slackia
Denitrobacterium	Denitrobacterium
Gordonibacter	Gordonibacter
Eggerthella	Eggerthella
Adlercreutzia	Adlercreutzia
Coriobacterium	Coriobacterium
Collinsella	Collinsella
Libanicoccus	Libanicoccus
Parolsenella	Parolsenella
Olsenella	Olsenella
Atopobium	Atopobium
Thermobispora	Thermobispora
Nakamurella	Nakamurella
Candidatus_Nanopelagicus	Candidatus_Nanopelagicus
Candidatus_Planktophila	Candidatus_Planktophila
Acidothermus	Acidothermus
Actinopolyspora	Actinopolyspora
Jiangella	Jiangella
Catenulispora	Catenulispora
Modestobacter	Modestobacter
Geodermatophilus	Geodermatophilus
Blastococcus	Blastococcus
Stackebrandtia	Stackebrandtia
Kineococcus	Kineococcus
Epidermidibacterium	Epidermidibacterium
Scardovia	Scardovia
Parascardovia	Parascardovia
Gardnerella	Gardnerella
Bifidobacterium	Bifidobacterium
Actinobaculum	Actinobaculum
Arcanobacterium	Arcanobacterium
Pauljensenia	Pauljensenia
Flaviflexus	Flaviflexus
Actinotignum	Actinotignum
Trueperella	Trueperella
Schaalia	Schaalia
Actinomyces	Actinomyces
Mobiluncus	Mobiluncus
Thermobifida	Thermobifida
Nocardiopsis	Nocardiopsis
Streptomonospora	Streptomonospora
Nonomuraea	Nonomuraea
Streptosporangium	Streptosporangium
Thermomonospora	Thermomonospora
Actinomadura	Actinomadura
Jatrophihabitans	Jatrophihabitans
Frankia	Frankia
Phytohabitans	Phytohabitans
Actinoplanes	Actinoplanes
Salinispora	Salinispora
Micromonospora	Micromonospora
Plantactinospora	Plantactinospora
Verrucosispora	Verrucosispora
Kitasatospora	Kitasatospora
Streptacidiphilus	Streptacidiphilus
Streptomyces	Streptomyces
Alloactinosynnema	Alloactinosynnema
Kibdelosporangium	Kibdelosporangium
Allokutzneria	Allokutzneria
Lentzea	Lentzea
Kutzneria	Kutzneria
Saccharomonospora	Saccharomonospora
Saccharopolyspora	Saccharopolyspora
Actinosynnema	Actinosynnema
Actinoalloteichus	Actinoalloteichus
Saccharothrix	Saccharothrix
Amycolatopsis	Amycolatopsis
Prauserella	Prauserella
Pseudonocardia	Pseudonocardia
Jonesia	Jonesia
Tropheryma	Tropheryma
Haloactinobacterium	Haloactinobacterium
Ruania	Ruania
Austwickia	Austwickia
Mobilicoccus	Mobilicoccus
Dermatophilus	Dermatophilus
Miniimonas	Miniimonas
Beutenbergia	Beutenbergia
Luteimicrobium	Luteimicrobium
Georgenia	Georgenia
Sanguibacter	Sanguibacter
Paraoerskovia	Paraoerskovia
Oerskovia	Oerskovia
Actinotalea	Actinotalea
Pseudactinotalea	Pseudactinotalea
Cellulomonas	Cellulomonas
Devriesea	Devriesea
Dermabacter	Dermabacter
Brachybacterium	Brachybacterium
Cellulosimicrobium	Cellulosimicrobium
Xylanimicrobium	Xylanimicrobium
Isoptericola	Isoptericola
Xylanimonas	Xylanimonas
Brevibacterium	Brevibacterium
Luteipulveratus	Luteipulveratus
Dermacoccus	Dermacoccus
Kytococcus	Kytococcus
Tetrasphaera	Tetrasphaera
Intrasporangium	Intrasporangium
Phycicoccus	Phycicoccus
Arsenicicoccus	Arsenicicoccus
Ornithinimicrobium	Ornithinimicrobium
Janibacter	Janibacter
Serinicoccus	Serinicoccus
Psychromicrobium	Psychromicrobium
Renibacterium	Renibacterium
Auritidibacter	Auritidibacter
Nesterenkonia	Nesterenkonia
Paenarthrobacter	Paenarthrobacter
Neomicrococcus	Neomicrococcus
Sinomonas	Sinomonas
Pseudarthrobacter	Pseudarthrobacter
Zhihengliuella	Zhihengliuella
Glutamicibacter	Glutamicibacter
Rothia	Rothia
Arthrobacter	Arthrobacter
Citricoccus	Citricoccus
Kocuria	Kocuria
Micrococcus	Micrococcus
Pontimonas	Pontimonas
Diaminobutyricimonas	Diaminobutyricimonas
Mycetocola	Mycetocola
Candidatus_Aquiluna	Candidatus_Aquiluna
Lysinimonas	Lysinimonas
Microcella	Microcella
Aurantimicrobium	Aurantimicrobium
Marisediminicola	Marisediminicola
Protaetiibacter	Protaetiibacter
Chryseoglobus	Chryseoglobus
Cryobacterium	Cryobacterium
Plantibacter	Plantibacter
Salinibacterium	Salinibacterium
Microterricola	Microterricola
Frondihabitans	Frondihabitans
Gryllotalpicola	Gryllotalpicola
Clavibacter	Clavibacter
Agromyces	Agromyces
Humibacter	Humibacter
Curtobacterium	Curtobacterium
Herbiconiux	Herbiconiux
Leucobacter	Leucobacter
Rhodoluna	Rhodoluna
Rathayibacter	Rathayibacter
Agrococcus	Agrococcus
Cnuibacter	Cnuibacter
Leifsonia	Leifsonia
Microbacterium	Microbacterium
Segniliparus	Segniliparus
Tsukamurella	Tsukamurella
Tomitella	Tomitella
Dietzia	Dietzia
Lawsonella	Lawsonella
Nocardia	Nocardia
Rhodococcus	Rhodococcus
Corynebacterium	Corynebacterium
Mycolicibacter	Mycolicibacter
Mycolicibacillus	Mycolicibacillus
Hoyosella	Hoyosella
Mycobacteroides	Mycobacteroides
Mycolicibacterium	Mycolicibacterium
Mycobacterium	Mycobacterium
Gordonia	Gordonia
Kribbella	Kribbella
Pimelobacter	Pimelobacter
Micropruina	Micropruina
Actinopolymorpha	Actinopolymorpha
Friedmanniella	Friedmanniella
Mumia	Mumia
Marmoricola	Marmoricola
Aeromicrobium	Aeromicrobium
Nocardioides	Nocardioides
Propionimicrobium	Propionimicrobium
Microlunatus	Microlunatus
Acidipropionibacterium	Acidipropionibacterium
Propioniciclava	Propioniciclava
Tessaracoccus	Tessaracoccus
Propionibacterium	Propionibacterium
Pseudopropionibacterium	Pseudopropionibacterium
Auraticoccus	Auraticoccus
Raineyella	Raineyella
Cutibacterium	Cutibacterium
Silvanigrella	Silvanigrella
Bacteriovorax	Bacteriovorax
Halobacteriovorax	Halobacteriovorax
Bdellovibrio	Bdellovibrio
Hydrogenophilus	Hydrogenophilus
Mariprofundus	Mariprofundus
Acidithiobacillus	Acidithiobacillus
Nitratiruptor	Nitratiruptor
Caminibacter	Caminibacter
Nautilia	Nautilia
Cetia	Cetia
Sulfurovum	Sulfurovum
Sulfuricurvum	Sulfuricurvum
Wolinella	Wolinella
Sulfurimonas	Sulfurimonas
Helicobacter	Helicobacter
Nitratifractor	Nitratifractor
Aliiarcobacter	Aliiarcobacter
Pseudoarcobacter	Pseudoarcobacter
