gIDs,start,stop,length
G000417695,44629,45310,682
G000422185,504229,505407,1179
G000422205,3065409,3065855,447
G000422225,1182356,1183577,1222
G000422225,1183748,1184284,537
G000422225,1987454,1988265,812
G000422225,1991270,1991587,318
G000422225,1992641,1992999,359
G000427015,5756177,5756487,311
G000444215,3681504,3681633,130
G000444215,3682837,3682999,163
G000444805,3068000,3068153,154
G000452445,3806871,3806999,129
G000452445,3876057,3876264,208
G000452445,3878132,3878345,214
G000452445,3948076,3948246,171
G000452445,4181412,4181596,185
G000452445,4182002,4182164,163
G000452445,4345357,4345529,173
G000452445,4772505,4772682,178
G000452445,5076000,5076353,354
G000452445,5185825,5186406,582
G000452445,5190040,5190863,824
G000452445,5436724,5438339,1616
G000452465,2693214,2693315,102
G000452465,2694003,2694427,425
G000452465,2744720,2745148,429
G000452465,3121537,3121644,108
G000452465,3175110,3175231,122
G000452465,3229467,3229915,449
G000452465,3230442,3230666,225
G000452465,3285724,3285950,227
G000452465,3346575,3346751,177
G000452465,3347028,3347258,231
G000452465,3407665,3407773,109
G000452465,3408310,3408468,159
G000452465,3470417,3470659,243
G000452465,3532094,3532345,252
G000452465,3876717,3876975,259
G000452465,3877279,3877543,265
G000452465,3940105,3940669,565
G000452465,3941050,3941198,149
G000452465,4005018,4005298,281
G000452465,4071343,4071476,134
G000452465,4071660,4071960,301
G000452465,4205648,4205983,336
G000452465,4207108,4207441,334
G000452465,4207849,4208164,316
G000452465,4274583,4275205,623
G000452465,4276153,4276529,377
G000452465,4344509,4344919,411
G000452465,4415471,4415914,444
G000452465,4488807,4488999,193
G000452465,4875595,4875805,211
G000452465,4949020,4949361,342
G000452745,3362701,3362895,195
G000452905,2365005,2365213,209
G000452905,2406897,2407153,257
G000452905,2409010,2409315,306
G000452905,2451000,2451265,266
G000452905,2451627,2451951,325
G000452905,2591776,2592464,689
G000452925,1350391,1350613,223
G000452925,1412372,1412657,286
G000452925,1413292,1413581,290
G000452925,1446693,1446999,307
G000452925,1476484,1477270,787
G000452925,1510851,1511348,498
G000455145,7691000,7692629,1630
G000463235,4145511,4145650,140
G000467815,1907280,1907614,335
G000467835,1286693,1287458,766
G000467855,1,733,733
G000467915,1703083,1703218,136
G000469115,3318315,3318528,214
G000469115,3319000,3319329,330
G000469365,1414015,1415294,1280
G000472025,4040257,4040999,743
G000497855,3872621,3872941,321
G000497855,3874851,3875154,304
G000497855,3875557,3875824,268
G000502215,6523414,6523781,368
G000502255,6613482,6613779,298
G000502275,6588374,6589454,1081
G000502275,6591369,6591473,105
G000502295,6149000,6149235,236
G000502315,6397394,6397707,314
G000502335,6637672,6638931,1260
G000502435,6989809,6990101,293
G000502455,6518580,6520201,1622
G000502475,6519171,6520435,1265
G000502515,6174636,6174999,364
