fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese	Transcript_pese
G17505.TCGA-06-2564-01A-01R-1849-01.2.	117449	472298	49394	25082	20820
G17506.TCGA-27-1835-01A-01R-1850-01.2.	117442	4591520	135804	94236	90000
G17507.TCGA-28-1747-01C-01R-1850-01.2.	117444	788262	52918	34070	31852
G17508.TCGA-16-0846-01A-01R-1850-01.2.	117445	2161388	98604	71684	67948
G17509.TCGA-14-1829-01A-01R-1850-01.2.	117448	6119654	219826	185972	183690
G17510.TCGA-02-2486-01A-01R-1849-01.2.	117443	1972902	127356	103092	100262
G17511.TCGA-06-2565-01A-01R-1849-01.2.	117450	834506	62796	36724	31574
G17512.TCGA-27-1837-01A-01R-1850-01.2.	117436	11076580	305080	276152	273366
G17632.TCGA-28-1753-01A-01R-1850-01.2.	117435	4973720	270754	217956	214172
G17633.TCGA-12-3650-01A-01R-1849-01.2.	117434	3347064	134522	113026	111206
G17634.TCGA-19-2625-01A-01R-1850-01.2.	117452	1334686	106516	61258	57194
G17636.TCGA-32-4213-01A-01R-1850-01.2.	117452	4041588	99170	69650	67934
G17637.TCGA-06-5418-01A-01R-1849-01.2.	117451	1461712	75018	35192	31472
G17638.TCGA-28-2499-01A-01R-1850-01.2.	117450	1257812	81182	38378	35024
G17639.TCGA-12-3652-01A-01R-1849-01.2.	117447	2345318	88754	59976	57652
G17640.TCGA-19-2629-01A-01R-1850-01.2.	117452	1114744	83196	42040	38338
G17642.TCGA-41-2572-01A-01R-1850-01.2.	117450	4776422	190394	156630	153466
G17643.TCGA-12-5295-01A-01R-1849-01.2.	117449	4059472	119104	85138	82532
G17644.TCGA-28-2509-01A-01R-1850-01.2.	117450	1205292	69600	32002	29010
G17645.TCGA-12-3653-01A-01R-1849-01.2.	117448	6280140	126300	101092	98890
G17646.TCGA-32-2615-01A-01R-1850-01.2.	117453	1866394	98480	45516	40832
G17648.TCGA-41-3915-01A-01R-1850-01.2.	117451	3063722	164838	123688	120292
G17649.TCGA-12-5299-01A-02R-1849-01.2.	117452	646342	69510	29914	26628
G17650.TCGA-28-2513-01A-01R-1850-01.2.	117448	2257684	86376	51558	48402
G17651.TCGA-19-1390-01A-01R-1850-01.2.	117452	525896	81486	31336	26212
G17652.TCGA-32-2616-01A-01R-1850-01.2.	117453	435402	86656	36588	32064
G17654.TCGA-41-4097-01A-01R-1850-01.2.	117448	7898920	418614	391384	388768
G17655.TCGA-26-5132-01A-01R-1850-01.2.	117450	1105412	77600	37460	33782
G17656.TCGA-28-2514-01A-02R-1850-01.2.	117452	1750976	91508	49258	45344
G17657.TCGA-19-1787-01B-01R-1850-01.2.	117452	1713402	87946	48166	44110
G17658.TCGA-32-2632-01A-01R-1850-01.2.	117451	3401610	124520	90402	87454
G17660.TCGA-06-5414-01A-01R-1849-01.2.	117452	487910	88452	34354	29566
G17661.TCGA-26-5133-01A-01R-1850-01.2.	117448	775302	68428	30292	26674
G17662.TCGA-32-1970-01A-01R-1850-01.2.	117451	2112392	84018	46056	42514
G17663.TCGA-19-2619-01A-01R-1850-01.2.	117453	1399786	72998	29280	25116
G17664.TCGA-32-2634-01A-01R-1850-01.2.	117453	1739466	82642	36568	31884
G17666.TCGA-06-5415-01A-01R-1849-01.2.	117457	5167012	258852	189868	183556
G17667.TCGA-26-5134-01A-01R-1850-01.2.	117454	1418996	49886	19752	18056
G17668.TCGA-32-1982-01A-01R-1850-01.2.	117460	11102836	450866	425360	423212
G17669.TCGA-19-2620-01A-01R-1850-01.2.	117440	3907490	118530	91392	89026
G17670.TCGA-32-2638-01A-01R-1850-01.2.	117453	940694	79704	33474	29474
G17672.TCGA-06-5416-01A-01R-1849-01.2.	117445	4200950	213540	157714	153336
G17673.TCGA-26-5135-01A-01R-1850-01.2.	117447	3730570	173244	141152	138398
G17674.TCGA-12-1597-01B-01R-1849-01.2.	117452	2354226	80334	49462	47442
G17675.TCGA-19-2624-01A-01R-1850-01.2.	117453	119160	80720	30222	25208
G17676.TCGA-41-2571-01A-01R-1850-01.2.	117453	2103702	92294	51216	47858
G17678.TCGA-06-5417-01A-01R-1849-01.2.	117434	10575668	277318	254886	253016
G17782.TCGA-26-5136-01B-01R-1850-01.4.	117424	1655398	187304	127954	122454
G17783.TCGA-28-5216-01A-01R-1850-01.4.	117438	175354	61328	28916	25078
G17784.TCGA-76-4929-01A-01R-1850-01.4.	117443	133818	57724	21980	17874
G17785.TCGA-06-5413-01A-01R-1849-01.4.	117449	405574	141710	100598	96066
G17786.TCGA-28-2510-01A-01R-1850-01.4.	117445	188094	92544	52668	48124
G17787.TCGA-26-5139-01A-01R-1850-01.4.	117444	231090	69848	34732	30446
G17788.TCGA-28-5218-01A-01R-1850-01.4.	117442	121650	60670	18702	14242
G17789.TCGA-76-4931-01A-01R-1850-01.4.	117450	157038	92562	53216	48150
G17790.TCGA-06-5856-01A-01R-1849-01.4.	117449	179224	52818	16728	12374
G17791.TCGA-32-1980-01A-01R-1850-01.4.	117448	177912	89786	47392	42700
G17792.TCGA-28-5204-01A-01R-1850-01.4.	117445	249268	60926	27992	24250
G17793.TCGA-28-5220-01A-01R-1850-01.4.	117447	769288	97464	51412	46054
G17794.TCGA-76-4932-01A-01R-1850-01.4.	117448	158176	56432	19530	15610
G17795.TCGA-06-5858-01A-01R-1849-01.4.	117449	118464	61128	18558	12864
G17796.TCGA-41-5651-01A-01R-1850-01.4.	117439	114550	57606	24234	20290
G17797.TCGA-28-5207-01A-01R-1850-01.4.	117445	604314	87182	45834	40590
G17798.TCGA-32-5222-01A-01R-1850-01.4.	117450	106108	66340	20302	15494
G17799.TCGA-06-1804-01A-01R-1849-01.4.	117452	79092	57334	17232	11612
G17800.TCGA-06-5859-01A-01R-1849-01.4.	117450	105818	59448	16120	11362
G17801.TCGA-19-4065-02A-11R-2005-01.4.	117444	725970	192334	143920	139244
G17802.TCGA-28-5208-01A-01R-1850-01.4.	117450	641424	83770	43450	38980
G17803.TCGA-76-4925-01A-01R-1850-01.4.	117452	168566	77096	28704	22478
G17804.TCGA-06-5408-01A-01R-1849-01.4.	117450	244748	81402	42716	38234
G17805.TCGA-14-0781-01B-01R-1849-01.4.	117452	142354	71032	26336	21534
G17806.TCGA-19-4065-01A-01R-2005-01.4.	117452	115194	79284	33420	27764
G17807.TCGA-28-5209-01A-01R-1850-01.4.	117450	345744	62224	23920	18890
G17808.TCGA-76-4926-01B-01R-1850-01.4.	117451	305384	90934	46894	41486
G17810.TCGA-15-1444-01A-02R-1850-01.4.	117452	206032	73134	31326	26394
G17812.TCGA-28-5213-01A-01R-1850-01.4.	117441	5737928	271072	241988	238954
G17813.TCGA-76-4927-01A-01R-1850-01.4.	117439	1704954	131764	101614	97916
G17814.TCGA-06-5411-01A-01R-1849-01.4.	117452	137716	84592	39608	34844
G17815.TCGA-19-5960-01A-11R-1850-01.4.	117450	87158	65340	18088	11426
G17816.TCGA-28-5215-01A-01R-1850-01.4.	117452	158826	69004	19310	13760
G17817.TCGA-76-4928-01B-01R-1850-01.4.	117452	127488	69068	20584	14604
G17818.TCGA-06-5412-01A-01R-1849-01.4.	117449	148922	63478	22664	17820
G17819.TCGA-26-1442-01A-01R-1850-01.4.	117452	112910	81404	30502	25024
G67451.TCGA-06-A5U0-01A-11R-A344-08.2.	117452	58076	37166	23082	18574
G67451.TCGA-06-A5U1-01A-11R-A344-08.2.	117454	100760	82030	43146	39056
G67451.TCGA-06-A6S0-01A-11R-A344-08.2.	117454	52384	36402	24452	22190
G67451.TCGA-06-A6S1-01A-11R-A344-08.2.	117453	62110	46146	31404	28168
G67451.TCGA-19-A60I-01A-12R-A344-08.2.	117453	73684	54958	41894	38288
G67451.TCGA-19-A6J4-01A-11R-A344-08.2.	117454	69388	52380	40880	38314
G67451.TCGA-19-A6J5-01A-21R-A344-08.2.	117451	56350	43486	28882	25946
G67451.TCGA-OX-A56R-01A-11R-A344-08.2.	117452	47464	30964	22596	18714
G67451.TCGA-RR-A6KA-01A-21R-A344-08.2.	117453	54528	39232	28148	24892
G67451.TCGA-RR-A6KB-01A-12R-A344-08.2.	117452	93114	83796	66276	64194
G67451.TCGA-RR-A6KC-01A-31R-A344-08.2.	117453	58584	48218	34906	32288
G78484.TCGA-06-A7TK-01A-21R-A39C-08.1.	117450	42852	29368	18124	14916
G78484.TCGA-06-A7TL-01A-11R-A39C-08.1.	117427	24540	16358	9334	7398
G78484.TCGA-26-A7UX-01B-11R-A39C-08.1.	117446	39322	26928	16734	13996
G78484.TCGA-4W-AA9R-01A-11R-A39C-08.1.	117454	72746	42402	26674	20764
G78484.TCGA-4W-AA9S-01A-11R-A39C-08.1.	117431	29134	18438	10212	7698
G78484.TCGA-4W-AA9T-01A-11R-A39C-08.1.	117432	33292	20184	11966	9274
TCGA-04-1331-01A-01R-1569-13_GRCh37-lite_rnaseq.	117454	301542	269592	248804	245474
TCGA-04-1331-01A-01R-1569-13_rnaseq.	117454	143676	128918	119450	117888
TCGA-04-1332-01A-01R-1564-13_GRCh37-lite_rnaseq.	117457	241050	33790	27312	26692
