fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese
TCGA-AG-A01W-01A-21D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	6058952	3815258	3418384
TCGA-AG-A01W-11A-11D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	5500142	3752890	3370070
TCGA-AG-A01Y-01A-41D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	5288686	3981238	3559580
TCGA-AG-A01Y-11A-11D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	7949288	6220152	5581322
TCGA-AG-A020-11A-11D-A079-02_110409_SN590_0077_BB04EHABXX_s_2.rg.sorted.filtered	115207	3570062	2289326	1848930
TCGA-AG-A032-10A-01D-A078-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	15524310	7259270	6362704
TCGA-AP-A0LT-10A-01D-A043_120327_SN590_0149_AD0U12ACXX_s_2_rg.sorted.filtered	115207	2389698	1786968	1369176
TCGA-AX-A0IW-01A-11D-A043_120327_SN590_0149_AD0U12ACXX_s_3_rg.sorted.filtered	115207	1574124	1166730	970716
TCGA-AY-4070-01A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	4173074	3667652	3344244
TCGA-AY-4070-10A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3878692	3308742	2993578
TCGA-AY-4071-01A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3677168	3169220	2840838
TCGA-AY-4071-10A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3471708	2908750	2629030
TCGA-AZ-4313-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3607738	3115048	2753290
TCGA-AZ-4313-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3395106	2908726	2576080
TCGA-AZ-4315-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	6242910	5454190	4847464
TCGA-AZ-4614-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1192612	984742	887900
TCGA-AZ-4614-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	6981042	6172682	5494360
TCGA-AZ-4615-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3190408	2710746	2398568
TCGA-AZ-4615-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	4567630	3878518	3429682
TCGA-AZ-4681-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3203004	2510420	2146322
TCGA-AZ-4682-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	2260474	1553484	1305606
TCGA-B5-A0JY-10A-01D-A101_120406_SN208_0282_BC0L15ACXX_s_5_rg.sorted.filtered	115207	1849154	1393522	1165352
TCGA-B6-A0X4-10A-01D-A106_130719_SN1120_0270_AC2CVRACXX_s_8_rg.sorted.filtered	115207	516430	49742	12524
TCGA-B7-5816-01A-21D-1598_121025_SN590_0187_BC191FACXX_s_1_rg.sorted.filtered	115207	276740	64618	42204
TCGA-B7-5818-01A-11D-1598_121025_SN590_0187_BC191FACXX_s_2_rg.sorted.filtered	115207	333784	73398	44014
TCGA-BG-A0LX-10A-01D-A043_120214_SN590_0138_AC0E8HACXX_s_8_rg.sorted.filtered	115207	33352506	3122766	2296944
TCGA-BG-A0M8-10A-01D-A101_120406_SN1120_0130_AD0UKGACXX_s_6_rg.sorted.filtered	115207	3339862	2525390	1959044
